task_id,sampling,checkpoint,test_overall_pearson,gretz_pearson,gretz_spearman,swanson_pearson,swanson_spearman,toledo_pearson,toledo_spearman,ukp_pearson,ukp_spearman,webis_pearson,webis_spearman,test_loss
STLAS_only_webis,in-topic,experiments/version_24-02-2022--17-26-24/checkpoints,0.2573,0.249,0.2501,0.3248,0.3565,0.205,0.1884,0.3864,0.4839,0.3671,0.4266,0.3212
STLAS_only_webis,in-topic,experiments/version_24-02-2022--17-35-35/checkpoints,0.2629,0.2628,0.2565,0.3703,0.4031,0.2767,0.2474,0.4239,0.5762,0.4287,0.5188,0.2823
STLAS_LOO_ukp,cross-topic,experiments/version_24-02-2022--17-29-23/checkpoints,0.4871,0.4493,0.3842,0.3663,0.3397,0.423,0.4172,0.2268,0.2102,0.3564,0.2812,0.0443
STLAS_only_webis,cross-topic,experiments/version_24-02-2022--17-44-17/checkpoints,0.1238,0.1877,0.1935,0.203,0.1999,0.2413,0.2601,0.3229,0.412,0.4123,0.485,0.3332
STLAS_only_webis,cross-topic,experiments/version_24-02-2022--17-51-27/checkpoints,0.1989,0.2407,0.2353,0.2163,0.2157,0.2961,0.2938,0.3061,0.3293,0.5802,0.6209,0.3118
STLAS_only_webis,cross-topic,experiments/version_24-02-2022--17-58-24/checkpoints,0.1398,0.207,0.2186,0.1186,0.0949,0.2226,0.253,0.2004,0.1341,0.5339,0.5626,0.2962
STLAS_only_webis,cross-topic,experiments/version_24-02-2022--18-04-13/checkpoints,0.2527,0.1782,0.1726,0.3459,0.3378,0.1363,0.1415,0.1913,0.3298,0.4061,0.3799,0.2822
STLAS_LOO_ukp,cross-topic,experiments/version_24-02-2022--17-49-04/checkpoints,0.5768,0.4218,0.3733,0.5452,0.5439,0.4358,0.4185,0.2853,0.3508,0.2466,0.1972,0.0407
STLAS,in-topic,experiments/version_24-02-2022--16-59-00/checkpoints,0.4741,0.4015,0.3342,0.6307,0.6015,0.3531,0.3341,0.3997,0.4196,0.4888,0.4835,0.0356
STLAS_only_webis,cross-topic,experiments/version_24-02-2022--18-10-05/checkpoints,0.3072,0.2568,0.2494,0.3706,0.3594,0.1664,0.1759,0.2997,0.4127,0.5372,0.5894,0.2757
STLAS_LOO_ukp,cross-topic,experiments/version_24-02-2022--18-14-20/checkpoints,0.5912,0.4149,0.3489,0.5537,0.5567,0.3236,0.3138,0.2291,0.3527,0.462,0.446,0.039
STLAS_LOO_webis,in-topic,experiments/version_24-02-2022--18-19-30/checkpoints,0.4657,0.4148,0.3514,0.6423,0.6189,0.3456,0.3264,0.4717,0.4558,0.6682,0.745,0.0359
MTLAS,in-topic,experiments/version_24-02-2022--18-30-20/checkpoints,0.5717,0.5069,0.4527,0.6646,0.6391,0.516,0.4924,0.5979,0.5172,0.5263,0.5509,0.0316
STLAS,in-topic,experiments/version_24-02-2022--18-19-04/checkpoints,0.4788,0.4033,0.3322,0.6449,0.6227,0.3579,0.3368,0.4312,0.405,0.5135,0.5045,0.0355
STLAS_LOO_webis,in-topic,experiments/version_24-02-2022--19-05-17/checkpoints,0.4733,0.4218,0.3532,0.6518,0.6367,0.3484,0.3346,0.4758,0.4224,0.6477,0.7183,0.0355
STLAS_LOO_webis,in-topic,experiments/version_24-02-2022--19-48-39/checkpoints,0.4659,0.4104,0.3359,0.6561,0.6341,0.322,0.2925,0.4583,0.3935,0.6519,0.7055,0.036
STLAS_LOO_webis,in-topic,experiments/version_24-02-2022--20-20-25/checkpoints,0.4623,0.4088,0.3475,0.6539,0.6297,0.3328,0.3053,0.4459,0.3996,0.5972,0.6868,0.0362
MTLAS,in-topic,experiments/version_24-02-2022--19-40-18/checkpoints,0.5757,0.5098,0.4563,0.6686,0.6382,0.5177,0.495,0.5649,0.61,0.5634,0.6101,0.0317
STLAS,in-topic,experiments/version_24-02-2022--19-47-32/checkpoints,0.4752,0.4031,0.3347,0.6465,0.6221,0.3717,0.3522,0.3944,0.4453,0.5018,0.5067,0.0363
STLAS_LOO_webis,in-topic,experiments/version_24-02-2022--20-55-16/checkpoints,0.4806,0.4319,0.3596,0.6515,0.6317,0.3445,0.319,0.4854,0.4319,0.6522,0.7544,0.0353
STLAS_only_toledo_topic,in-topic,experiments/version_24-02-2022--22-19-15/checkpoints,0.3932,0.3878,0.3718,0.2828,0.3201,0.4978,0.4728,0.2969,0.5511,0.1585,0.1588,0.0691
STLAS_only_toledo_topic,in-topic,experiments/version_24-02-2022--22-23-23/checkpoints,0.3933,0.4035,0.3841,0.2838,0.3436,0.5266,0.5054,0.3115,0.3944,0.3226,0.3665,0.077
STLAS_LOO_webis,cross-topic,experiments/version_24-02-2022--22-08-50/checkpoints,0.4579,0.4675,0.4013,0.3948,0.3786,0.3972,0.392,0.3206,0.3359,0.6429,0.5412,0.0428
STLAS_only_toledo_topic,in-topic,experiments/version_24-02-2022--22-29-41/checkpoints,0.3996,0.3964,0.3772,0.25,0.2713,0.5316,0.5009,0.3646,0.4299,0.2404,0.2676,0.074
STLAS_only_toledo_topic,in-topic,experiments/version_24-02-2022--22-35-38/checkpoints,0.3945,0.3887,0.3715,0.3236,0.3558,0.5045,0.4653,0.3584,0.5543,0.1506,0.1626,0.0681
STLAS_only_toledo_topic,in-topic,experiments/version_24-02-2022--22-39-39/checkpoints,0.3801,0.3925,0.3786,0.2603,0.2841,0.514,0.4873,0.3458,0.4891,0.192,0.1748,0.075
STLAS_only_toledo_topic,cross-topic,experiments/version_24-02-2022--22-44-16/checkpoints,0.3575,0.2822,0.2591,0.2699,0.2843,0.225,0.2106,0.2854,0.4461,0.1807,0.207,0.0623
STLAS_only_toledo_topic,cross-topic,experiments/version_24-02-2022--22-47-07/checkpoints,0.2965,0.3642,0.3312,0.2544,0.2573,0.4458,0.4193,0.4815,0.6058,0.66,0.7047,0.0798
STLAS_only_toledo_topic,cross-topic,experiments/version_24-02-2022--22-50-30/checkpoints,0.3818,0.3648,0.341,0.2213,0.2127,0.3297,0.3128,0.3371,0.2511,0.221,0.2437,0.059
STLAS_only_toledo_topic,cross-topic,experiments/version_24-02-2022--22-54-40/checkpoints,0.4023,0.2774,0.2664,0.4006,0.3981,0.4152,0.3977,0.2041,0.2151,0.1651,0.2198,0.0685
STLAS_only_toledo_topic,cross-topic,experiments/version_24-02-2022--22-57-23/checkpoints,0.2652,0.3321,0.3191,0.4078,0.3981,0.2878,0.2771,0.3813,0.5117,0.516,0.5686,0.0767
STLAS_LOO_webis,cross-topic,experiments/version_24-02-2022--22-33-13/checkpoints,0.4566,0.4331,0.368,0.4136,0.4008,0.4281,0.4071,0.3675,0.4336,0.7282,0.6874,0.041
MTLAS,in-topic,experiments/version_24-02-2022--22-08-16/checkpoints,0.5745,0.5092,0.4535,0.6534,0.6274,0.5042,0.4861,0.6561,0.5616,0.5663,0.6045,0.0313
STLAS,in-topic,experiments/version_24-02-2022--22-08-38/checkpoints,0.4751,0.399,0.3337,0.6472,0.6173,0.3525,0.331,0.4,0.4283,0.4723,0.4737,0.0356
STLAS_LOO_webis,cross-topic,experiments/version_24-02-2022--23-06-18/checkpoints,0.4823,0.4451,0.3872,0.3699,0.3557,0.4087,0.4064,0.1495,0.3684,0.6883,0.6489,0.0467
STLAS_LOO_webis,cross-topic,experiments/version_24-02-2022--23-40-53/checkpoints,0.5854,0.4078,0.3665,0.5851,0.5866,0.4435,0.4296,0.3499,0.4368,0.6022,0.5765,0.043
STLAS_LOO_webis,cross-topic,experiments/version_25-02-2022--00-19-14/checkpoints,0.6081,0.454,0.3776,0.5862,0.5879,0.289,0.2848,0.279,0.5483,0.7222,0.6857,0.0399
STLAS_LOO_toledo_topic,cross-topic,experiments/version_24-02-2022--23-00-28/checkpoints,0.4479,0.4892,0.436,0.3305,0.3276,0.3256,0.3411,0.3755,0.1774,0.6723,0.7028,0.0546
STLAS,in-topic,experiments/version_24-02-2022--23-29-04/checkpoints,0.4803,0.4094,0.3396,0.647,0.6214,0.3457,0.3182,0.4227,0.4238,0.4863,0.4897,0.0353
MTLAS,in-topic,experiments/version_24-02-2022--23-26-05/checkpoints,0.5812,0.5167,0.4617,0.66,0.6342,0.5266,0.5108,0.5988,0.6066,0.5848,0.6218,0.0313
STLAS_only_gretz_topic,in-topic,experiments/version_25-02-2022--00-39-39/checkpoints,0.508,0.5115,0.4579,0.3745,0.4321,0.4514,0.3919,0.4331,0.5526,0.2986,0.3194,0.0366
STLAS_only_gretz_topic,in-topic,experiments/version_25-02-2022--01-02-30/checkpoints,0.5128,0.5106,0.456,0.3805,0.4357,0.458,0.4121,0.4212,0.5426,0.3959,0.4152,0.0364
STLAS_only_gretz_topic,in-topic,experiments/version_25-02-2022--01-22-35/checkpoints,0.5086,0.5063,0.449,0.4032,0.4803,0.4614,0.4064,0.4699,0.5571,0.3402,0.3566,0.0362
STLAS_only_gretz_topic,in-topic,experiments/version_25-02-2022--01-41-23/checkpoints,0.5096,0.5099,0.4554,0.3934,0.4164,0.4415,0.3997,0.4369,0.5638,0.2814,0.2839,0.0361
MTLAS,in-topic,experiments/version_25-02-2022--00-51-45/checkpoints,0.5784,0.5114,0.4602,0.6557,0.6255,0.5362,0.5187,0.5815,0.5273,0.5545,0.5755,0.0307
STLAS_only_gretz_topic,in-topic,experiments/version_25-02-2022--02-02-47/checkpoints,0.5143,0.5168,0.4626,0.3521,0.3953,0.466,0.4194,0.4453,0.5805,0.3105,0.3116,0.0355
STLAS,cross-topic,experiments/version_25-02-2022--00-49-40/checkpoints,0.4798,0.4736,0.4075,0.4296,0.4054,0.3982,0.3966,0.2215,0.2475,0.4838,0.3438,0.0421
STLAS_LOO_toledo_topic,cross-topic,experiments/version_25-02-2022--00-40-18/checkpoints,0.4711,0.4758,0.4268,0.3882,0.3808,0.3819,0.4019,0.4525,0.3918,0.804,0.8236,0.0482
STLAS_only_gretz_topic,cross-topic,experiments/version_25-02-2022--02-26-53/checkpoints,0.4488,0.468,0.416,0.2231,0.2504,0.3908,0.3997,0.433,0.5332,0.512,0.45,0.0452
STLAS_only_gretz_topic,cross-topic,experiments/version_25-02-2022--02-44-19/checkpoints,0.4525,0.4721,0.4096,0.3093,0.3235,0.4709,0.4327,0.5221,0.5833,0.6899,0.6802,0.0422
STLAS_only_gretz_topic,cross-topic,experiments/version_25-02-2022--02-56-03/checkpoints,0.4493,0.4824,0.4228,0.2305,0.2379,0.4175,0.4363,0.3981,0.4379,0.5621,0.5094,0.0495
STLAS_only_gretz_topic,cross-topic,experiments/version_25-02-2022--03-15-04/checkpoints,0.5551,0.4483,0.4009,0.4497,0.4499,0.4806,0.4678,0.2729,0.4209,0.5281,0.4975,0.0468
STLAS_only_gretz_topic,cross-topic,experiments/version_25-02-2022--03-34-17/checkpoints,0.5804,0.5008,0.4369,0.4731,0.4729,0.3605,0.3572,0.3864,0.5792,0.6355,0.5938,0.0441
MTLAS,cross-topic,experiments/version_25-02-2022--02-09-51/checkpoints,0.6126,0.4858,0.4288,0.407,0.3827,0.3982,0.3839,0.4301,0.2617,0.7131,0.7264,0.0337
STLAS_LOO_toledo_topic,cross-topic,experiments/version_25-02-2022--02-38-55/checkpoints,0.4112,0.4948,0.4413,0.3103,0.3149,0.3399,0.3816,0.409,0.3725,0.7286,0.7535,0.0625
STLAS,cross-topic,experiments/version_25-02-2022--02-38-24/checkpoints,0.4776,0.4134,0.3546,0.3955,0.3806,0.4365,0.4153,0.3117,0.3586,0.5985,0.4701,0.0403
STLAS_LOO_gretz_topic,in-topic,experiments/version_25-02-2022--03-55-36/checkpoints,0.437,0.3724,0.3346,0.6596,0.6395,0.5245,0.4982,0.3219,0.4118,0.6231,0.6866,0.0532
MTLAS,cross-topic,experiments/version_25-02-2022--04-05-17/checkpoints,0.6076,0.4939,0.4352,0.3966,0.3753,0.5046,0.4721,0.5754,0.6089,0.8373,0.8438,0.0332
STLAS_LOO_toledo_topic,cross-topic,experiments/version_25-02-2022--04-13-17/checkpoints,0.5685,0.4582,0.4095,0.5906,0.5915,0.4097,0.3797,0.3327,0.4559,0.739,0.7096,0.049
STLAS,cross-topic,experiments/version_25-02-2022--04-25-53/checkpoints,0.4992,0.4404,0.3808,0.3748,0.3578,0.414,0.4061,0.1222,0.3163,0.4317,0.2864,0.044
