model_id,seed,avg_train_loss,avg_val_loss,avg_test_loss,gretz_pearson,toledo_pearson,ukp_pearson,swanson_pearson,avg_pearson
MTLAS_randomized_source_all,845,0.014592186740866334,0.0351240938854596,0.0375171589650332,0.4806173814224677,0.39110528833751224,0.3516480705038846,0.3694022652668992,0.3981932513826909
STLAS_only_gretz_randomized_topic,34,0.01755429335722798,0.025987599441345703,0.04511895707793652,0.49758643374902733,0.3718112805163691,0.24279625234632218,0.22224685971282104,0.33361020658113494
MTLAS_randomized_topic_all,3894,0.015019690148647903,0.03401497930990181,0.03833450569165132,0.4762359400518798,0.2941003490310746,0.24978558791980496,0.36944362701774697,0.3473913760051266
MTLAS_randomized_source_all,5993,0.013476772590229908,0.03715630875874872,0.03431257464443192,0.4799584510865303,0.34639846171432664,0.3719084049168931,0.6511783145606974,0.4623609080696119
STLAS_only_gretz_randomized_topic,705,0.016179610037039764,0.03349778653743366,0.0372599602318727,0.4663468434482564,0.38676936907288345,0.3325665368165933,0.44025862763217055,0.4064853442424759
STLAS_only_gretz_randomized_topic,8324,0.016893710105189585,0.03057860939399056,0.03858779643017512,0.4794474805867234,0.4096994491716876,0.39624931522935225,0.4511445146149981,0.43413518990069033
MTLAS_randomized_source_all,9033,0.014868761510400083,0.033788919197543274,0.0376163490403157,0.49812254256585564,0.4118211758112765,0.37352300824640217,0.37966109401667847,0.41578195516005323
MTLAS_randomized_topic_all,2390,0.017222201950752584,0.03245533785472313,0.031587711148537125,0.49664808198948807,0.45392490370639504,0.16621254666144167,0.576727064289754,0.4233781491617697
MTLAS_randomized_source_all,683,0.014734686382867767,0.03221033845329657,0.03385511987532178,0.4893102529375518,0.22203701435491072,0.41659841968359784,0.6448938922926962,0.44320989481718914
MTLAS_randomized_topic_all,9597,0.01550326686162326,0.03429886868054217,0.03224576680975802,0.48135885718219495,0.4046497399340776,0.3701453594930296,0.562960503559995,0.4547786150423243
MTLAS_randomized_source_all,9351,0.01857727115738496,0.03637140336047326,0.033355295285582544,0.48351649071254676,0.3709112375195083,0.323301877787585,0.6868371377871302,0.4661416859516926
MTLAS_randomized_topic_all,2958,0.013055484058321132,0.03646057716642435,0.032593712726464635,0.48950023380507945,0.3569096081976222,0.27322985378869385,0.4342069938550186,0.3884616724116035
MTLAS_randomized_source_all,1578,0.01947344740516205,0.03171491211474831,0.03469925004267885,0.4748987125743437,0.3371047169820329,0.440599264320762,0.4248245117188106,0.41935680139898734
MTLAS_randomized_topic_all,2716,0.01845889085927954,0.03395272676012854,0.031712950517733894,0.49913784688126833,0.39466654786936445,0.2627058161103532,0.6327366937748007,0.4473117261589467
MTLAS_randomized_topic_all,6077,0.019940970435272903,0.03767909364561077,0.03775459323078394,0.48620434089058856,0.380433770804492,0.23834410860619581,0.4155801842902312,0.38014060114787684
STLAS_only_toledo_randomized_topic,9501,0.025627568756279192,0.03710015664498011,0.07367751848484788,0.3895211513632149,0.2954867744593288,0.16667766945604337,0.4217493724129854,0.31835874192289315
STLAS_only_swanson_randomized_topic,9883,0.014119699806431118,0.05358845580901418,0.052194721780825355,0.052258855377632744,0.10853581784427957,0.14075089562117507,0.37732375383554057,0.16971733066965697
STLAS_only_ukp_randomized_topic,9665,0.019474159879609942,0.017213895916938782,0.072975339173381,0.05041915212310889,0.07308345518973805,0.15567709476091976,0.24914713456528217,0.13208170915976222
STLAS_only_swanson_randomized_topic,8922,0.01924783734566703,0.0709391902718279,0.049578269372784325,0.0196275668753723,0.10679510768340043,0.14874701470340765,0.43640926707942956,0.1778947390854025
